Colgate Kids Toothpaste Pump, Maximum Cavity Protection, 4.4 ounces (6 Pack),$17.76,https://images-na.ssl-images-amazon.com/images/I/91ZEZc-n-CL._SL1500_.jpg,www.amazon.com/Colgate-Maximum-Cavity-Protection-Toothpaste/dp/B07DT7M9BS
Tanner's Tasty Paste Anticavity Fluoride Children’s Toothpaste, Vanilla Bling, 4.2 Ounce,$6.99,https://images-na.ssl-images-amazon.com/images/I/41TDLSQ-n8L._AC_.jpg,https://www.amazon.com/dp/B015ZRTHVA
